id,latitude,longitude,seq,elapsed_min,ambient_temp_C,humidity_pct,tvoc,floor_temp_C,wind_avg_kmh,wind_max_kmh,batt_v
1,43.47657,-80.54014,1,0,27.07,70.6,100,28.59,22.08,22.08,3.385
1,43.47657,-80.54014,2,0,26.87,70.74,100,28.39,49.92,49.92,3.426
1,43.47657,-80.54014,3,0,26.78,71.24,100,28.63,49.44,49.44,3.382
1,43.47657,-80.54014,4,0,26.81,71.44,100,28.71,32.16,32.16,3.367
1,43.47657,-80.54014,5,1,26.8,71.48,96,28.89,43.68,43.68,3.444
1,43.47657,-80.54014,6,1,26.82,71.46,98,28.95,42.72,42.72,3.406
1,43.47657,-80.54014,7,1,26.86,71.41,94,29.09,19.68,19.68,3.48
1,43.47657,-80.54014,8,1,27.03,71.45,97,29.31,12,12,3.486
1,43.47657,-80.54014,9,2,27.04,71.04,98,29.11,34.08,34.08,3.674
1,43.47657,-80.54014,10,2,27.08,70.98,94,29.17,24.96,24.96,3.435
1,43.47657,-80.54014,11,2,27.02,70.93,92,29.03,24.96,24.96,3.465
1,43.47657,-80.54014,12,2,27.11,71.09,94,29.29,22.08,22.08,3.464
