id,latitude,longitude,boot,elapsed_min,ambient_temp_C,humidity_pct,tvoc,floor_temp_C,wind_avg_kmh,wind_max_kmh,batt_v
2,43.475072,-80.544708,1,0,25.96,72.71,100,24.11,38.88,38.88,3.833
2,43.475072,-80.544708,2,0,26.07,72.68,100,24.23,25.92,25.92,3.793
2,43.475072,-80.544708,3,0,26.05,72.64,100,24.23,32.64,32.64,3.626
2,43.475072,-80.544708,4,0,26.14,72.49,100,24.29,18.72,18.72,3.61
2,43.475072,-80.544708,5,1,26.04,73,100,24.45,52.32,52.32,3.603
2,43.475072,-80.544708,6,1,25.95,72.41,100,24.41,52.32,52.32,3.715
2,43.475072,-80.544708,7,1,25.98,72.24,100,24.41,55.2,55.2,3.575
2,43.475072,-80.544708,8,1,26.1,73.09,100,24.47,21.12,21.12,3.726
2,43.475072,-80.544708,9,2,26.26,72.97,100,24.77,27.84,27.84,3.613
2,43.475072,-80.544708,10,2,26.34,72.03,90,24.57,21.12,21.12,3.727
2,43.475072,-80.544708,11,2,26.38,71.85,98,24.87,12,12,3.593
2,43.475072,-80.544708,12,2,26.12,70.7,96,24.69,82.08,82.08,3.689
2,43.475072,-80.544708,13,3,26.19,70.86,90,24.59,19.68,19.68,3.694
