id,latitude,longitude,boot,elapsed_min,ambient_temp_C,humidity_pct,tvoc,floor_temp_C,wind_avg_kmh,wind_max_kmh,batt_v
4,43.476366,-80.555157,1,0,26.5,62.61,100,25.67,2.88,2.88,3.816
4,43.476366,-80.555157,2,0,26.45,63.85,100,25.93,3.36,3.36,3.217
4,43.476366,-80.555157,3,0,26.41,63.42,100,25.63,0,0,3.297
4,43.476366,-80.555157,4,0,26.45,64.88,100,25.73,2.88,2.88,3.05
4,43.476366,-80.555157,5,1,26.46,63.8,100,25.49,3.36,3.36,3.304
4,43.476366,-80.555157,6,1,26.5,62.57,100,25.87,0,0,3.357
4,43.476366,-80.555157,7,1,26.49,62.2,100,25.87,3.36,3.36,3.31
4,43.476366,-80.555157,8,1,26.48,61.37,100,25.99,0,0,3.336
4,43.476366,-80.555157,9,2,26.52,62.46,100,25.69,0,0,3.311
4,43.476366,-80.555157,10,2,26.52,62.71,90,25.59,5.76,5.76,3.12
4,43.476366,-80.555157,11,2,26.51,63.11,96,25.67,3.84,3.84,3.282
4,43.476366,-80.555157,12,2,26.54,62.84,97,25.55,0,0,3.322
4,43.476366,-80.555157,13,3,26.56,62.16,92,25.43,0,0,3.38
4,43.476366,-80.555157,14,3,26.59,61.66,99,25.85,0,0,3.38
4,43.476366,-80.555157,15,3,26.58,61.12,92,26.03,3.84,3.84,3.324
,,,,,,,,,,,
