boot,elapsed_min,ambient_temp_C,humidity_pct,tvoc,floor_temp_C,wind_avg_kmh,wind_max_kmh,batt_v
1,0,25.22,53.62,100,25.05,7.08,80.16,3.780
2,18,25.08,54.55,99,24.93,0.00,0.00,3.479
3,36,24.59,54.94,91,24.71,0.00,0.00,3.523
4,54,24.96,58.50,90,24.95,0.00,0.00,3.509
5,72,25.04,59.31,242,24.99,0.00,0.00,3.494
6,90,25.07,59.74,191,24.87,0.00,0.00,3.495
7,108,24.84,58.04,203,24.87,0.00,0.00,3.507
8,126,25.07,59.15,190,25.05,0.00,0.00,3.512
9,144,25.02,59.95,207,24.87,0.00,0.00,3.512
10,162,24.49,57.61,117,24.47,0.00,0.00,3.556
11,180,24.66,59.31,125,24.59,0.00,0.00,3.549
12,198,24.69,60.64,128,24.57,0.00,0.00,3.542
13,216,24.76,61.61,127,24.69,0.00,0.00,3.546
14,234,24.55,59.91,98,24.63,0.00,0.00,3.560
15,252,24.67,61.15,94,24.59,0.00,0.00,3.550
16,270,24.71,62.07,96,24.63,0.00,0.00,3.546
17,288,24.46,59.78,96,24.47,0.00,0.00,3.559
18,306,24.59,61.13,94,24.59,0.00,0.00,3.553
19,324,24.59,62.00,90,24.47,0.00,0.00,3.555
20,342,24.59,62.63,192,24.39,0.00,0.00,3.555
21,360,24.37,60.84,95,24.39,0.00,0.00,3.578
22,378,24.47,62.07,182,24.47,0.00,0.00,3.572
23,396,24.52,63.23,162,24.47,0.00,0.00,3.569
24,414,24.45,63.77,144,24.41,0.00,0.00,3.573
25,432,24.19,61.16,96,24.09,0.00,0.00,3.604
26,450,24.25,62.46,90,24.23,0.00,0.00,3.599
27,468,24.29,63.28,92,24.29,0.00,0.00,3.594
28,486,24.31,63.92,98,24.23,0.00,0.00,3.592
29,504,24.37,64.42,92,24.29,0.00,0.00,3.587
30,522,24.19,62.28,90,24.17,0.00,0.00,3.603
31,540,24.27,63.73,94,24.29,0.00,0.00,3.601
32,558,24.37,64.56,95,24.23,0.00,0.00,3.594
33,576,24.76,64.43,95,24.71,0.00,0.00,3.572
